Serbia,SRB,5900.0381075126
Sub-Saharan Africa (excluding high income),SSA,1572.33843365298
South Sudan,SSD,
Sub-Saharan Africa,SSF,1573.60791556275
Small states,SST,11946.5849638274
Sao Tome and Principe,STP,1921.28447293456
Suriname,SUR,5317.38953875323
Slovak Republic,SVK,17604.950976993
Slovenia,SVN,23597.2917255702
Sweden,SWE,53442.0082808022
Eswatini,SWZ,3242.75106472334
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,15629.3059375489
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,662.50011455695
East Asia & Pacific (IDA & IBRD countries),TEA,7201.59424328624
Europe & Central Asia (IDA & IBRD countries),TEC,8487.00295771947
Togo,TGO,610.151730130474
Thailand,THA,6595.00412458017
Tajikistan,TJK,801.05087126751
Turkmenistan,TKM,6586.625862686
Latin America & the Caribbean (IDA & IBRD countries),TLA,9111.80735833501
Timor-Leste,TLS,2279.25320357878
Middle East & North Africa (IDA & IBRD countries),TMN,3799.8678976828
Tonga,TON,3959.07975653834
South Asia (IDA & IBRD),TSA,1842.25534872854
Sub-Saharan Africa (IDA & IBRD countries),TSS,1573.60791556275
Trinidad and Tobago,TTO,16126.3709498173
Tunisia,TUN,3464.41689038656
Turkey,TUR,10546.1525631603
Tuvalu,TUV,3549.97474128384
Tanzania,TZA,936.330767971897
Uganda,UGA,606.468453487644
Ukraine,UKR,2639.82432586795
Upper middle income,UMC,8610.6524089461
Uruguay,URY,16245.5983677431
United States,USA,59531.661964344
Uzbekistan,UZB,1533.85203766488
St. Vincent and the Grenadines,VCT,7145.07683689785
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2342.24400272117
Vanuatu,VUT,3123.61459082387
World,WLD,10721.6088483366
Samoa,WSM,4280.83891547136
Kosovo,XKX,3957.44181912974
"Yemen, Rep.",YEM,1106.80390649944
South Africa,ZAF,6151.07795531285
Zambia,ZMB,1513.27631610687
Zimbabwe,ZWE,1333.39566279393
